#x1	y1
7.469290571	-11.50169885
7.994377965	-10.23233718
8.18423394	-8.776516392
8.241521126	-7.420698953
7.677283195	-5.785247845
7.098902765	-4.43588677
6.484059471	-3.303793317
5.034153117	-2.033929884
3.823098266	-1.168838438
2.941752589	-0.625288816
1.19185E-14	6.24624E-16
-0.179659247	-0.025249461
0.510273385	0.117805893
0.87363456	0.370835869
0.52307507	0.339688922
0.194439123	0.181317415
-0.105190575	-0.139592608
0.353241384	0.693275251
1.004564698	3.285783072
0.268934316	2.19029424
0.051354186	-0.979896246
-0.149066009	0.645675822
-0.288314589	0.679226606
6.214248786	-9.569103982
6.865474239	-8.787406303
6.997380676	-7.503772089
5.050102438	-4.547132659
13.01813382	-8.134632842
12.83567409	-6.540102611
12.31231913	-4.974499831
12.02925456	-3.677712193
7.001784421	-1.488275222
6.946252069	-0.85289251
6.787817409	-0.237035807
5.67291486	0.29730487
4.463558734	0.62731227
5.396167577	1.245803448
4.487462634	1.904814877
0.233511562	0.151644182
0.681033566	0.635074075
0.315796695	0.419076369
1.336625188	2.623274637
1.550856972	5.072624588
0.057476955	0.468112236
0.320210551	-6.109981297
0.127134245	-0.550678913
-0.984151673	2.318516048
5.013895614	-7.720722188
5.832950345	-7.465835985
5.383005392	-5.772566548
11.6315957	-10.47313581
11.87267072	-8.946699104
10.95278347	-2.328085995
10.62279173	-1.304314818
9.881758366	-0.345078606
3.073410002	0.161070593
7.17510759	1.00839561
11.19416531	2.584376696
5.937285081	2.520227994
2.668024945	1.732635658
3.625731617	3.381049431
-1.619155197	-2.148691519
2.375172286	4.661538081
-0.435403051	-1.424139209
0.805425521	6.559664469
0.380702235	-7.264231387
1.134899034	-4.915787785
-1.982380659	4.670196166
10.57513162	-16.28427467
11.70880851	-12.55615988
9.41839774	0.49359731
3.22834867	0.453714817
3.983089704	0.919568715
10.63624043	4.5148162
4.513739207	2.931256515
10.02733107	9.350637496
7.158055504	9.499060489
3.901231007	7.65659696
15.13234778	49.49567937
0.36255673	2.952787606
0.383658773	-7.320645496
-2.664514907	6.277203748
9.768423113	-12.50301142
10.99276983	0.576106655
15.21217398	2.137931628
6.023506418	2.55682678
9.722629754	6.313949588
48.82307579	159.6930853
-0.753905374	-6.140066541
-6.31915908	14.88700587	
14.16715505	0.742469135
0.107763842	0.045743037
-1.885047913	-6.165713903
-0.931224897	-7.584218167
-1.014282086	2.389498852
-1.377836807	-1.8284512
-0.809273115	-6.591000604
-12.96470646	30.54293438
